,row_id,date_created,year,month_number,month,request_status,service_category,service_description,interaction_channel,service_area,referral_type,neighbourhood_id,neighbourhood,ward,service_category_service_area,service_area_service_category,service_area_service_description,nbhd_latitude,nbhd_longitude,nbhd_location,count,date_closed,status_detail,ward_latitude,ward_longitude,ward_location,CovidAll
3933,31321543485589,2020-04-29T15:32:31.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,2340,HOLLICK-KENYON,04,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.62224418238982,-113.42228786136482,"{'latitude': '53.62224418238982', 'longitude': '-113.42228786136482', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-29T17:00:48.000,,,,,True
4178,29471443485200,2020-04-29T14:47:29.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,2280,FRASER,04,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.610382173879735,-113.37478157988564,"{'latitude': '53.610382173879735', 'longitude': '-113.37478157988564', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-29T17:01:40.000,Does Not Meet Bylaw Offence Standards,,,,True
4327,12191443485166,2020-04-29T14:19:12.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,6320,IDYLWYLDE,08,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.52162991520384,-113.44911385648135,"{'latitude': '53.52162991520384', 'longitude': '-113.44911385648135', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-29T15:31:43.000,,,,,True
4356,2131443485135,2020-04-29T14:13:02.000,2020,4,April,Closed,Bylaw Complaints,COVID - Mass Gathering Unacceptable,Phone Call,Community Standards - Peace Officers,Full Service,,,,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Mass Gathering Unacceptable,,,,1,2020-04-29T14:13:02.000,,,,,True
4400,7021443485066,2020-04-29T14:02:07.000,2020,4,April,Closed,Bylaw Complaints,COVID - Mass Gathering Unacceptable,Phone Call,Community Standards - Peace Officers,Full Service,,,,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Mass Gathering Unacceptable,,,,1,2020-04-29T14:02:08.000,,,,,True
4461,40511343485011,2020-04-29T13:51:40.000,2020,4,April,Closed,Bylaw Complaints,COVID - Open Business Unacceptable,Phone Call,Community Standards - Peace Officers,Full Service,,,,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Open Business Unacceptable,,,,1,2020-04-29T13:51:41.000,,,,,True
4747,46011343484622,2020-04-29T13:01:46.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,2550,MONTROSE,07,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.575116228950925,-113.44223029635958,"{'latitude': '53.575116228950925', 'longitude': '-113.44223029635958', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-29T14:31:05.000,,,,,True
5038,10131243484254,2020-04-29T12:13:10.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Email,Community Standards - Peace Officers,Referral,5290,MCKERNAN,08,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.51275883945096,-113.52044221122382,"{'latitude': '53.51275883945096', 'longitude': '-113.52044221122382', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-29T14:01:58.000,,,,,True
5770,16590943483345,2020-04-29T09:59:16.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,2241,EAUX CLAIRES,03,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.621638824117554,-113.4856371921701,"{'latitude': '53.621638824117554', 'longitude': '-113.4856371921701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-30T10:00:32.000,,,,,True
6262,49470743482857,2020-04-29T07:47:49.000,2020,4,April,Closed,Bylaw Complaints,COVID - Mass Gathering Unacceptable,Phone Call,Community Standards - Peace Officers,Full Service,,,,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Mass Gathering Unacceptable,,,,1,2020-04-29T07:47:50.000,,,,,True
6423,5031942482650,2020-04-28T19:03:05.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,4280,LYNNWOOD,05,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.51570132512691,-113.58990902591644,"{'latitude': '53.51570132512691', 'longitude': '-113.58990902591644', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-28T20:31:07.000,,,,,True
6445,55481842482613,2020-04-28T18:48:55.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,6760,TWEDDLE PLACE,11,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.47836951495941,-113.45916009479342,"{'latitude': '53.47836951495941', 'longitude': '-113.45916009479342', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-28T20:01:23.000,,53.48222636935761,-113.44225301244043,"{'latitude': '53.48222636935761', 'longitude': '-113.44225301244043', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",True
6504,5251842482562,2020-04-28T18:25:05.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,2340,HOLLICK-KENYON,04,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.62224418238982,-113.42228786136482,"{'latitude': '53.62224418238982', 'longitude': '-113.42228786136482', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-28T20:01:06.000,Does Not Meet Bylaw Offence Standards,,,,True
6535,5141842482527,2020-04-28T18:14:05.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,2400,KILDARE,07,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.60329283648903,-113.45515009561049,"{'latitude': '53.60329283648903', 'longitude': '-113.45515009561049', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-28T19:31:25.000,,,,,True
6693,35121742482356,2020-04-28T17:12:35.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,2260,EVANSDALE,03,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.6108411103013,-113.47956893111652,"{'latitude': '53.6108411103013', 'longitude': '-113.47956893111652', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-28T22:00:42.000,File Already under Investigation,,,,True
6748,21541642482300,2020-04-28T16:54:21.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,3060,CAERNARVON,02,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.611899751032084,-113.5264017195065,"{'latitude': '53.611899751032084', 'longitude': '-113.5264017195065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-28T21:30:32.000,File Already under Investigation,,,,True
6824,18291642482234,2020-04-28T16:29:18.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,2050,BELLE RIVE,03,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.62230017578729,-113.47359649183348,"{'latitude': '53.62230017578729', 'longitude': '-113.47359649183348', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-28T17:31:52.000,,,,,True
7103,31291542481940,2020-04-28T15:29:31.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,6340,KAMEYOSEK,11,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.46191874301442,-113.44206793447808,"{'latitude': '53.46191874301442', 'longitude': '-113.44206793447808', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-28T16:30:37.000,,53.48222636935761,-113.44225301244043,"{'latitude': '53.48222636935761', 'longitude': '-113.44225301244043', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",True
7142,57211542481894,2020-04-28T15:21:57.000,2020,4,April,Closed,Bylaw Complaints,COVID - Open Business Unacceptable,Phone Call,Community Standards - Peace Officers,Full Service,,,,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Open Business Unacceptable,,,,1,2020-04-28T15:21:57.000,,,,,True
7181,25171542481327,2020-04-28T15:17:25.000,2020,4,April,Closed,General Information,COVID - Worksite Conditions and Safety,Phone Call,Workplace Safety and Employee Health,Full Service,,,,General Information  (Workplace Safety and Employee Health),(Workplace Safety and Employee Health)  General Information,(Workplace Safety and Employee Health)  COVID - Worksite Conditions and Safety,,,,1,2020-04-28T15:17:26.000,,,,,True
7399,53351442481582,2020-04-28T14:35:53.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,6360,KING EDWARD PARK,11,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.515151157263325,-113.45056960491442,"{'latitude': '53.515151157263325', 'longitude': '-113.45056960491442', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-28T16:00:55.000,,53.48222636935761,-113.44225301244043,"{'latitude': '53.48222636935761', 'longitude': '-113.44225301244043', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",True
7732,37411342481236,2020-04-28T13:41:37.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,3140,CRESTWOOD,01,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.53543354829023,-113.56903784940349,"{'latitude': '53.53543354829023', 'longitude': '-113.56903784940349', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-28T15:02:11.000,,,,,True
7775,55321342481187,2020-04-28T13:32:55.000,2020,4,April,Closed,Bylaw Complaints,COVID - Open Business Unacceptable,Phone Call,Community Standards - Peace Officers,Full Service,,,,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Open Business Unacceptable,,,,1,2020-04-28T13:32:56.000,,,,,True
8143,47231242480575,2020-04-28T12:23:47.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,5190,FALCONER HEIGHTS,09,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.46672055034112,-113.58852369853099,"{'latitude': '53.46672055034112', 'longitude': '-113.58852369853099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-28T13:31:21.000,,,,,True
8427,8351142480372,2020-04-28T11:35:08.000,2020,4,April,Closed,Bylaw Complaints,COVID - Open Business Unacceptable,Phone Call,Community Standards - Peace Officers,Full Service,,,,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Open Business Unacceptable,,,,1,2020-04-28T11:35:09.000,,,,,True
8751,54451042479970,2020-04-28T10:45:54.000,2020,4,April,Closed,General Information,COVID - Worksite Conditions and Safety,Phone Call,Workplace Safety and Employee Health,Full Service,,,,General Information  (Workplace Safety and Employee Health),(Workplace Safety and Employee Health)  General Information,(Workplace Safety and Employee Health)  COVID - Worksite Conditions and Safety,,,,1,2020-04-28T10:45:55.000,,,,,True
9520,18580742479022,2020-04-28T07:58:18.000,2020,4,April,Closed,Bylaw Complaints,COVID - Mass Gathering Unacceptable,Phone Call,Community Standards - Peace Officers,Full Service,,,,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Mass Gathering Unacceptable,,,,1,2020-04-28T07:58:18.000,,,,,True
9621,56310642478909,2020-04-28T06:31:56.000,2020,4,April,Closed,Bylaw Complaints,COVID - Mass Gathering Unacceptable,Phone Call,Community Standards - Peace Officers,Full Service,,,,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Mass Gathering Unacceptable,,,,1,2020-04-28T06:31:57.000,,,,,True
9842,39161841478619,2020-04-27T18:16:39.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,6680,SATOO,11,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.44637282810994,-113.45889160765203,"{'latitude': '53.44637282810994', 'longitude': '-113.45889160765203', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-27T19:30:49.000,,53.48222636935761,-113.44225301244043,"{'latitude': '53.48222636935761', 'longitude': '-113.44225301244043', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",True
9913,35411741478584,2020-04-27T17:41:35.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,1160,PARKDALE,07,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.56571569943334,-113.47135037828579,"{'latitude': '53.56571569943334', 'longitude': '-113.47135037828579', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-27T19:01:03.000,,,,,True
9920,15391741478570,2020-04-27T17:39:15.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,1160,PARKDALE,07,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.56571569943334,-113.47135037828579,"{'latitude': '53.56571569943334', 'longitude': '-113.47135037828579', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-27T19:00:57.000,,,,,True
9966,59191741478476,2020-04-27T17:19:59.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,6520,MILL WOODS TOWN CENTRE,11,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.45645846262913,-113.42748006003345,"{'latitude': '53.45645846262913', 'longitude': '-113.42748006003345', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-27T18:31:55.000,,53.48222636935761,-113.44225301244043,"{'latitude': '53.48222636935761', 'longitude': '-113.44225301244043', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",True
